placement_site_code_src,ProviderName,placement_site_reporting_name,community_region_desc,lha_name,funding,Single LTC Rooms,Double LTC Rooms,3-Bed LTC Rooms,4-Bed LTC Rooms,>4 Bed LTC Rooms,Total LTC Beds
1,Care Home 001,Care Home 001 - North Shore,North Shore,West Vancouver,Private,59,13,16,0,0,110
2,Care Home 002,Care Home 002 - North Shore,North Shore,West Vancouver,Affiliate-NP,75,31,23,0,0,166
3,Care Home 003,Care Home 003 - Richmond,Richmond,Richmond,Private,48,30,7,0,0,127
4,Care Home 004,Care Home 004 - North Shore,North Shore,North Shore,Health Authority,27,22,9,0,0,66
5,Care Home 005,Care Home 005 - North Shore,North Shore,West Vancouver,Affiliate-NP,30,13,11,2,0,98
6,Care Home 006,Care Home 006 - North Shore,North Shore,North Shore,Private,45,23,7,0,0,106
7,Care Home 007,Care Home 007 - Vancouver,Vancouver,Vancouver Community,Health Authority,34,24,8,0,0,92
8,Care Home 008,Care Home 008 - North Shore,North Shore,West Vancouver,Affiliate-NP,89,45,13,0,0,152
9,Care Home 009,Care Home 009 - Vancouver,Vancouver,Vancouver Community,Health Authority,52,14,18,2,0,142
10,Care Home 010,Care Home 010 - North Shore,North Shore,North Shore,Private,38,20,5,0,0,84
11,Care Home 011,Care Home 011 - Vancouver,Vancouver,Vancouver Community,Health Authority,76,39,20,0,0,165
12,Care Home 012,Care Home 012 - Richmond,Richmond,Richmond,Health Authority,21,5,5,2,0,54
13,Care Home 013,Care Home 013 - Vancouver,Vancouver,Vancouver Community,Affiliate-NP,77,20,7,0,0,130
14,Care Home 014,Care Home 014 - Vancouver,Vancouver,Vancouver Community,Affiliate-NP,53,32,12,0,0,109
15,Care Home 015,Care Home 015 - Richmond,Richmond,Richmond,Private,52,15,8,10,0,146
16,Care Home 016,Care Home 016 - North Shore,North Shore,West Vancouver,Affiliate-NP,54,15,13,0,0,114
17,Care Home 017,Care Home 017 - Richmond,Richmond,Richmond,Affiliate-NP,40,14,4,0,0,78
18,Care Home 018,Care Home 018 - Vancouver,Vancouver,Vancouver Community,Private,54,24,6,0,0,88
19,Care Home 019,Care Home 019 - Coast,Coast,Sunshine Coast,Private,75,27,9,2,0,165
20,Care Home 020,Care Home 020 - Coast,Coast,Sunshine Coast,Affiliate-NP,46,27,7,0,0,113
21,Care Home 021,Care Home 021 - Coast,Coast,Sunshine Coast,Private,73,41,17,0,0,162
22,Care Home 022,Care Home 022 - Richmond,Richmond,Richmond,Affiliate-NP,50,35,13,0,0,161
23,Care Home 023,Care Home 023 - Vancouver,Vancouver,Vancouver Community,Affiliate-NP,53,15,15,0,0,106
24,Care Home 024,Care Home 024 - Richmond,Richmond,Richmond,Affiliate-NP,42,46,13,0,0,138
25,Care Home 025,Care Home 025 - North Shore,North Shore,West Vancouver,Affiliate-NP,39,28,9,0,0,84
26,Care Home 026,Care Home 026 - Richmond,Richmond,Richmond,Affiliate-NP,49,27,11,0,0,118
27,Care Home 027,Care Home 027 - Vancouver,Vancouver,Vancouver Community,Private,14,9,2,0,0,41
28,Care Home 028,Care Home 028 - North Shore,North Shore,West Vancouver,Affiliate-NP,43,23,4,0,0,79
29,Care Home 029,Care Home 029 - Coast,Coast,Powell River,Affiliate-NP,38,15,10,0,0,78
30,Care Home 030,Care Home 030 - North Shore,North Shore,North Shore,Affiliate-NP,28,16,5,0,0,72
