UniqueCharacteristicID,VacancyID,RoomCharacteristic
1,5,WHEELCHAIR ACCESSIBLE
2,6,WHEELCHAIR ACCESSIBLE
3,7,WHEELCHAIR ACCESSIBLE
4,14,CEILING LIFT
5,16,WHEELCHAIR ACCESSIBLE
6,18,CEILING LIFT
7,18,WHEELCHAIR ACCESSIBLE
8,23,CEILING LIFT
9,27,CEILING LIFT
10,30,CEILING LIFT
11,33,CEILING LIFT
12,40,CEILING LIFT
13,43,CEILING LIFT
14,48,CEILING LIFT
15,49,WHEELCHAIR ACCESSIBLE
16,55,CEILING LIFT
17,62,CEILING LIFT
18,62,WHEELCHAIR ACCESSIBLE
19,64,CEILING LIFT
20,65,CEILING LIFT
21,77,CEILING LIFT
22,78,CEILING LIFT
23,80,WHEELCHAIR ACCESSIBLE
24,81,CEILING LIFT
25,83,CEILING LIFT
26,85,CEILING LIFT
27,86,CEILING LIFT
28,89,CEILING LIFT
29,89,WHEELCHAIR ACCESSIBLE
30,91,CEILING LIFT
31,92,WHEELCHAIR ACCESSIBLE
32,93,CEILING LIFT
33,97,WHEELCHAIR ACCESSIBLE
34,98,CEILING LIFT
35,98,WHEELCHAIR ACCESSIBLE
36,102,CEILING LIFT
37,103,WHEELCHAIR ACCESSIBLE
38,106,CEILING LIFT
39,106,WHEELCHAIR ACCESSIBLE
40,107,CEILING LIFT
41,110,CEILING LIFT
42,113,CEILING LIFT
43,117,WHEELCHAIR ACCESSIBLE
44,118,CEILING LIFT
45,119,CEILING LIFT
46,123,CEILING LIFT
47,128,CEILING LIFT
48,130,CEILING LIFT
49,131,CEILING LIFT
50,132,CEILING LIFT
51,141,WHEELCHAIR ACCESSIBLE
52,144,CEILING LIFT
53,144,WHEELCHAIR ACCESSIBLE
54,145,WHEELCHAIR ACCESSIBLE
55,149,CEILING LIFT
56,154,CEILING LIFT
57,155,CEILING LIFT
58,156,CEILING LIFT
59,158,WHEELCHAIR ACCESSIBLE
60,164,CEILING LIFT
61,167,CEILING LIFT
62,167,WHEELCHAIR ACCESSIBLE
63,168,CEILING LIFT
64,169,CEILING LIFT
65,172,CEILING LIFT
66,173,CEILING LIFT
67,173,WHEELCHAIR ACCESSIBLE
