VacancyID,WaitlistName,ProviderName,DateVacancyReported,DateBedAvailable,IsPrivateRoom,RoomGenderLimitation
1,PRIORITY ACCESS COAST,Care Home 029,2025-02-19,2025-02-26,1,
2,PRIORITY ACCESS VANCOUVER,Care Home 009,2023-07-08,2023-07-15,0,
3,PRIORITY ACCESS NORTH SHORE,Care Home 030,2024-09-17,2024-09-24,0,
4,PRIORITY ACCESS RICHMOND,Care Home 015,2023-03-03,2023-03-04,0,
5,PRIORITY ACCESS RICHMOND,Care Home 024,2024-10-30,2024-10-31,0,
6,PRIORITY ACCESS NORTH SHORE,Care Home 001,2024-12-23,2024-12-30,0,
7,PRIORITY ACCESS NORTH SHORE,Care Home 008,2024-11-05,2024-11-07,0,
8,PRIORITY ACCESS RICHMOND,Care Home 022,2024-10-18,2024-10-19,0,
9,PRIORITY ACCESS NORTH SHORE,Care Home 006,2023-03-08,2023-03-15,1,
10,PRIORITY ACCESS COAST,Care Home 029,2022-04-15,2022-04-17,0,
11,PRIORITY ACCESS VANCOUVER,Care Home 007,2025-01-27,2025-01-28,0,
12,PRIORITY ACCESS VANCOUVER,Care Home 023,2023-12-10,2023-12-13,0,
13,PRIORITY ACCESS NORTH SHORE,Care Home 006,2022-06-29,2022-07-05,1,
14,PRIORITY ACCESS VANCOUVER,Care Home 018,2024-12-13,2024-12-14,0,
15,PRIORITY ACCESS RICHMOND,Care Home 012,2023-09-24,2023-09-29,0,Male
16,PRIORITY ACCESS COAST,Care Home 029,2024-12-10,2024-12-14,0,
17,PRIORITY ACCESS NORTH SHORE,Care Home 001,2024-09-12,2024-09-13,0,
18,PRIORITY ACCESS NORTH SHORE,Care Home 001,2025-01-24,2025-01-26,0,Female
19,PRIORITY ACCESS VANCOUVER,Care Home 018,2023-07-05,2023-07-09,1,
20,PRIORITY ACCESS COAST,Care Home 020,2022-07-26,2022-07-29,1,
21,PRIORITY ACCESS NORTH SHORE,Care Home 025,2023-03-22,2023-03-26,0,
22,PRIORITY ACCESS VANCOUVER,Care Home 023,2024-01-03,2024-01-06,0,
23,PRIORITY ACCESS VANCOUVER,Care Home 013,2022-07-31,2022-08-05,0,
24,PRIORITY ACCESS NORTH SHORE,Care Home 016,2022-12-20,2022-12-22,0,
25,PRIORITY ACCESS NORTH SHORE,Care Home 008,2025-01-16,2025-01-17,0,
26,PRIORITY ACCESS VANCOUVER,Care Home 011,2022-09-03,2022-09-05,1,
27,PRIORITY ACCESS NORTH SHORE,Care Home 025,2024-11-30,2024-12-07,0,
28,PRIORITY ACCESS VANCOUVER,Care Home 018,2022-09-11,2022-09-15,1,
29,PRIORITY ACCESS NORTH SHORE,Care Home 004,2022-10-25,2022-10-27,0,
30,PRIORITY ACCESS NORTH SHORE,Care Home 016,2024-03-25,2024-03-31,0,
31,PRIORITY ACCESS RICHMOND,Care Home 012,2024-05-23,2024-05-30,1,
32,PRIORITY ACCESS RICHMOND,Care Home 015,2022-10-11,2022-10-18,0,
33,PRIORITY ACCESS NORTH SHORE,Care Home 008,2025-01-05,2025-01-08,0,
34,PRIORITY ACCESS NORTH SHORE,Care Home 028,2023-10-10,2023-10-17,1,
35,PRIORITY ACCESS NORTH SHORE,Care Home 004,2023-06-05,2023-06-12,0,
36,PRIORITY ACCESS NORTH SHORE,Care Home 025,2024-11-17,2024-11-19,0,
37,PRIORITY ACCESS NORTH SHORE,Care Home 030,2024-01-29,2024-02-03,1,
38,PRIORITY ACCESS NORTH SHORE,Care Home 025,2023-10-23,2023-10-26,0,
39,PRIORITY ACCESS NORTH SHORE,Care Home 016,2024-07-14,2024-07-17,0,
40,PRIORITY ACCESS NORTH SHORE,Care Home 002,2022-08-27,2022-08-31,1,
41,PRIORITY ACCESS RICHMOND,Care Home 015,2023-03-27,2023-03-30,0,
42,PRIORITY ACCESS VANCOUVER,Care Home 014,2023-05-10,2023-05-12,0,
43,PRIORITY ACCESS COAST,Care Home 021,2024-03-15,2024-03-22,0,
44,PRIORITY ACCESS VANCOUVER,Care Home 014,2023-10-23,2023-10-30,0,
45,PRIORITY ACCESS RICHMOND,Care Home 026,2023-11-10,2023-11-14,0,
46,PRIORITY ACCESS NORTH SHORE,Care Home 006,2024-05-22,2024-05-23,0,
47,PRIORITY ACCESS VANCOUVER,Care Home 007,2024-12-04,2024-12-05,1,
48,PRIORITY ACCESS COAST,Care Home 019,2024-05-12,2024-05-17,1,Female
49,PRIORITY ACCESS RICHMOND,Care Home 003,2025-01-17,2025-01-24,0,
50,PRIORITY ACCESS VANCOUVER,Care Home 014,2024-07-12,2024-07-19,0,Female
